name;bd1;bd2;bd3;bd4;bd5;bd6;bd7;bd8;adress;gps;tel;mail;web;;
Oasis Outdoor Living & Landscape;Active Member;Design/Build;Hardscape;Landscape Design;Platinum;Pools and Spas;;;1300 E Broadway St, Fortville, IN 46040;39.9448801, -85.8249054;(317) 485-6514;-;https://myoasisoutdoor.com/;;
Noll Landscape Group; Inc.; The;Active Member;Class A;Design/Build;Hardscape;Landscape Design;Lawncare/Landscape Maintenance;;;10290 East 131st St, Fishers, IN 46038;39.9791694, -85.98518539999998;(317) 841-7559;-;https://www.nolllandscape.com/
Nick Rayman Landscape;Active Member;Annuals;Class C;Conifers;Deciduous trees;Landscape Design;Lawncare/Landscape Maintenance;Mulch;8033 W 21st St, Indianapolis, IN 46214;39.79336139999999, -86.3031051;317-694-1370;-;;;
Niemeyer’s Landscape Supply; Inc;Active Member;Annuals;Conifers;Deciduous trees;Garden Center;Ground Covers;Hardscape;Horticulture Supplies;810 N Indiana Ave, Crown Point, IN 46307;41.4263779, -87.3543556;(219) 663-1042;-;https://www.niemeyerstone.com/;
New Vistas Landscaping;Active Member;Class D;Landscape Design;;;;;;1808 Barclay Dr, Goshen, IN 46528-1146;41.6095, -85.87368989999999;(574) 534-3298;-;http://www.newvistas.net/;;
Nature’s Way; Inc.;Active Member;Aquatics;Design/Build;Erosion Control;Hardscape;In-House Landscape Management;Irrigation;Landscape Design;7330 N Wayport Road, Bloomington, IN 47408-8990;39.2631971, -86.5211674;(812) 876-7888;-;https://www.naturesway.net/;
Nature by Design Landscapes; Inc.;Active Member;Class B;Conifers;Deciduous trees;Design/Build;Erosion Control;Garden Center;Ground Covers;2563 N. Bruceville Rd, Vincennes, IN 47591;38.7321469, -87.4411137;(812) 726-1122;-;http://www.naturebydesignlandscapesinc.com/;
Nature’s Choice;Active Member;Annuals;Aquatics;Class A;Conifers;Deciduous trees;Erosion Control;Ground Covers;PO Box 1126, Brownsburg, IN 46112;39.8433769, -86.3977735;Ph: (317) 852-2647;-;https://www.natureschoicelandscaping.com/;;
Nature Rocks Design;Active Member;Annuals;Class D;Conifers;Deciduous trees;Erosion Control;Ground Covers;Hardscape;4040 Carrollton Ave., Indianapolis, IN 46205;39.8297151, -86.1439353;317-995-7368;-;;;
Naturalscape Services; Inc.;Active Member;Class C;Design/Build;Hardscape;Landscape Design;Lawncare/Landscape Maintenance;;;1549 E CR 450 N Seymour, IN 47274;38.9427819, -86.0098398;(812) 522-7332;-;http://www.naturalscapeservices.com/;
National Nursery Products; Inc.;Active Member;Class D;Conifers;Deciduous trees;Ground Covers;Ornamental Trees;Perennials;Shrubs;130 East Epler, Ste A, Indianapolis, IN 46227;39.6867156, -86.1550307;(317) 652-5927;-;http://nnpinc.net/;
Natural Stone and Tile; Inc;Associate Member;Equipment dealer;Hardscape Supplier/ Mulch;;;;;;8875 Bash St, Indianapolis, IN 46256;39.91637, -86.041063;(317) 863-5926;-;http://www.naturalstonetilegallery.com;
Musselman Landscape Solutions;Active Member;Horticulture Supplies;Mulch;Platinum;Retail;Soil Amendments;Wholesale;;17505 Durbin Rd (Hamilton Co.), Noblesville, IN 46060;40.0404632, -85.9105581;(317) 773-5399;-;https://musselmanlandscape.com/;;
Mulder Outdoors;Active Member;Class A;Design/Build;Erosion Control;Hardscape;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;118 S 600 W, Hebron, IN 46341;41.4175974, -87.1815869;(219) 281-1842;-;https://www.mulderoutdoors.com;;
Minnetrista;Associate Member;Educational Facility/Agency;In-House Landscape Management;;;;;;1200 N Minnetrista Parkway, Muncie, IN 47303;40.205338, -85.388167;(765) 287-3563;;https://minnetrista.net/;;
Millcreek Gardens LLC;Annuals;Associate Member;Horticulture, Product Supplier;Out of State Business;;;;;15088 Smart-Cole Rd, Ostrander, OH 43061;40.234007, -83.174674;(740) 666-7125;-;http://millcreekplants.com/;;
McHutchinson LLC;Associate Member;Business Services;Consultant;Horticulture, Product Supplier;Out of State Business;Wholesale;;;1930 Buttonwood Rd, Louisville, KY 40222;38.275864, -85.625787;(502) 681-8073;-;https://www.mchutchison.com/;;
Midwest Trading Horticultural Supplies; Inc.;Associate Member;Horticulture Supplies;Mulch;Soil Amendments;;;;;48W805 IL-64, Maple Park, IL 60151 ;41.956602477461, -88.562135857178;(630) 365-1990;-;https://www.midwest-trading.com/;
McCammon’s Irish Market – Brownsburg;Active Member;Annuals;Class A;Conifers;Deciduous trees;Garden Center;Greenhouse;Ground Covers;3480 N State Road 267, Brownsburg, IN 45112;39.81382, -86.40152549999999;317-885-8707;-;http://www.mccammonsirishmarket.com;;
McCarty Mulch & Stone;Associate Member;Hardscape Supplier/ Mulch;Soil Amendments;;;;;;100 Bluffdale Drive, Greenwood, IN 46142;39.61079, -86.216814;(317) 885-1985;-;https://www.landscapemulch.com/;;
McCammon’s Irish Market;Active Member;Annuals;Class A;Conifers;Deciduous trees;Garden Center;Greenhouse;Ground Covers;620 Treybourne Dr. Greenwood, IN 46142;39.6239797, -86.1579615;317-885-8707;-;http://www.mccammonsirishmarket.com;;
Mathies Landscaping; Inc.;Active Member;Annuals;Class A;Conifers;Deciduous trees;Design/Build;Erosion Control;Hardscape;521 E Hendricks St, Shelbyville, IN 46176-0001;39.5218332, -85.7689474;(317) 398-9871;-;http://mathieslandscaping.com/;
Mid-State Truck Equipment;Associate Member;Equipment dealer;;;;;;;11020 Allisonville Rd, Fishers, IN 46038;39.9492297, -86.0433125;(317) 849-4903;-;http://www.mid-statetruck.com/;;
Meticulous Landscapes Inc.;Active Member;Aquatics;Class A;Design/Build;Hardscape;Landscape Design;Lawncare/Landscape Maintenance;;22698 State Rd 19, Cicero, IN 46034;40.118661, -86.0148301;(317) 370-7672;-;http://www.meticulouslandscapes.com/;;
Martin Marietta;Associate Member;;;;;;;;12220 N Meridian St., Ste. 100, Carmel, IN 46032;39.96903349999999, -86.1593584;(463) 206-0446;;;;
Medxcel Facilities Management;Associate Member;In-House Landscape Management;Non for Profit;;;;;;2150 Covey Lane, Indianapolis, IN 46074;39.9012314, -86.1988845;(765) 438-5113;-;;;
Mark M. Holeman; Inc.;Active Member;Design/Build;Hardscape;Landscape Design;Lawncare/Landscape Maintenance;Platinum;Pools and Spas;Snow and Ice Removal;7871 Hague Road, Indianapolis, IN 46256-1753;39.8975099, -86.0306934;(317) 849-3120;-;http://www.holemanlandscape.com/;
Mainscape; Inc.;Active Member;Irrigation;Lawncare/Landscape Maintenance;Platinum;Snow and Ice Removal;;;;13418 Britton Park Rd., Fishers, IN 46038;39.9858803, -86.00693509999999;(317) 577-3155;-;;
MacAllister Machinery Co.; Inc.;Associate Member;Equipment dealer;Retail;;;;;;5401 Elmwood Ave, Indianapolis, IN 46203;39.7050642, -86.0746046;(317) 788-4624;-;https://www.macallister.com/;
LML Estate Management;Active Member;Design/Build;Hardscape;In-House Landscape Management;Landscape Design;Lawncare/Landscape Maintenance;Platinum;Pools and Spas;2828 Freeman St, Fort Wayne, IN 46802;41.0572473, -85.1823199;(260) 459-3707;-;https://www.lmlestatemanagement.com/;;
Listerman & Associates Inc;Associate Member;Consultant;Horticulture, Product Supplier;Wholesale;;;;;836 Distribution Dr, Beavercreek, OH 45434;39.711587, -84.01191999999999;(937) 426-6301;-;http://listermanassociates.com/;;
Linton’s Enchanted Gardens;Active Member;Annuals;Class A;Conifers;Deciduous trees;Design/Build;Erosion Control;Garden Center;315 CR 17, Elkhart, IN 46516;41.6928771, -85.8888758;(574) 293-9699;-;http://www.lintons.com/;;
LGI Landscaping;Active Member;Class D;Erosion Control;Hardscape;In-House Landscape Management;Landscape Design;Lawncare/Landscape Maintenance;;7849 Castle Lane, Indianapolis, IN 46256;39.8796669, -86.0280234;(317) 519-1673;;;;
Shade Trees Unlimited; Inc;Active Member;Class A;Conifers;Deciduous trees;Design/Build;Hardscape;Landscape Design;Ornamental Trees;1785 W. Keiser Road Columbia City, IN 46725;41.0966755, -85.5212807;(260) 248-2733;-;http://www.shadetreesunlimited.com/;
Small’s Landscaping; Inc.;Active Member;Annuals;Class D;Conifers;Deciduous trees;Design/Build;Ground Covers;Hardscape;310 N. 325 E. (Porter Co.), Valparaiso, IN 46384;41.4797596, -87.0029917;(219) 476-7400;-;https://smallslandscaping.com/;
Ski Landscape Corp.;Active Member;Conifers;Deciduous trees;Design/Build;Hardscape;In-House Landscape Management;Landscape Design;Lawncare/Landscape Maintenance;9786 E 56th St, Indianapolis, IN 46236;39.8564269, -85.995529;(317) 897-5885;-;http://www.skilandscape.com/;;
Serviscape; Inc.;Active Member;Class A;Design/Build;Hardscape;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;;PO Box 8658, Michigan City, IN 46360-8658;41.7075394, -86.8950297;(219) 872-9412;-;http://www.getserviscape.com/;
Sovereign Landscape;Active Member;Class A;Hardscape;Landscape Design;Lawncare/Landscape Maintenance;;;;11460 Greenfield Ave., Noblesville, IN 46060;40.0130712, -85.9626849;(317) 219-6222;-;https://www.sovereignlandscape.com/;;
Terebinth Tree Care;Active Member;Class D;Lawncare/Landscape Maintenance;;;;;;3315 W Bear Claw Rd., Trafalgar, IN 46181;39.387329, -86.16646;(317) 507-4197;-;https://terebinthtreecare.com/;;
Stone Center of Indiana; LLC;Associate Member;Hardscape Supplier/ Mulch;;;;;;;5272 E 65th St, Indianapolis, IN 46220;39.8782639, -86.0800185;(317) 849-9100;-;https://stonecenterofindiana.com/;
Techo-Bloc Inc.;Associate Member;Hardscape Supplier/ Mulch;;;;;;;5255 Rue Albert Millichamp, St. Hubert QC J3Y 8Z8;45.466446, -73.42232820000001;514-295-2289;-;;;
Thomas Lawn & Landscape; Inc;Active Member;Class D;Design/Build;Hardscape;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;Snow and Ice Removal;5430 Rock Hampton Court (Marion County), Indianapolis, IN 46268;39.9148492, -86.2562133;(317) 757-5067;-;https://www.thomaslawnscapes.com/;
Turfworx Inc;Active Member;Class C;Conifers;Ground Covers;In-House Landscape Management;Lawncare/Landscape Maintenance;Perennials;Shrubs;10542 Jessup Blvd Indianapolis, IN 46280;39.940955, -86.14467499999999;(317) 843-1393;-;http://www.turfworxinc.com/;;
Vibrant Outdoors;Active Member;Design/Build;Erosion Control;Hardscape;In-House Landscape Management;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;3980 Perry Blvd., Whitestown, IN 46075;39.9706901, -86.3936003;(317) 769-3308;-;http://www.vibrantoutdoors.com;;
Unilock;Associate Member;Hardscape;Wholesale;;;;;;301 E Sullivan Rd, Aurora, IL 60505;41.7878477, -88.3064656;(630) 892-9191;-;https://unilock.com/;;
Walnut Ridge Nursery and Garden Center;Active Member;Annuals;Conifers;Deciduous trees;Design/Build;Garden Center;Ground Covers;Grower;2108 Hamburg Pike, Jeffersonville, IN 47130-6396;38.2958037, -85.7463256;(812) 288-6691;-;https://walnutridge.com/;;
Waldo & Associates; Inc;Associate Member;Horticulture, Product Supplier;Out of State Business;;;;;;PO Box 990, Perrysburg, OH 43551;41.556996, -83.627157;(419) 666-3662;-;http://waldoinc.com/;
Weed Man Lawncare;Active Member;Platinum;Retail;;;;;;574 Wheeling Road, Wheeling, IL 60090;42.1299002, -87.9277351;262-271-5810;-;http://www.weedman.com;;
Rozzi Greenhouse;Active Member;Annuals;Class C;Deciduous trees;Garden Center;Lawncare/Landscape Maintenance;Mulch;Ornamental Trees;2398 Burlington Ave, Logansport, IN 46947;40.730441, -86.378264;(574) 735-3503;-;;;
Willoway Nursery;Annuals;Associate Member;Conifers;Deciduous trees;Greenhouse;Ground Covers;Grower;Ornamental Trees;4534 Center Rd. Avon, OH 44011;41.4242082, -82.0192136;(866) 934-4435  toll free;-;https://www.willowaynurseries.com/;;
MG Landscape & Irrigation;Active Member;Class B;Design/Build;Erosion Control;Hardscape;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;610 S Shortridge Rd, Indianapolis, IN 46239;39.7602522, -86.0411292;(317) 861-6080;-;http://www.mglandscapeandirrigation.com/;;
Me and My Diddy LLC;Active Member;Class C;Hardscape;In-House Landscape Management;Landscape Design;Lawncare/Landscape Maintenance;Snow and Ice Removal;;1518 E Washington St, Ste 300, Indianapolis, IN 46201;39.7674329, -86.1327597; (317) 488-7761;-;;;
Wright Implement;Associate Member;Equipment dealer;;;;;;;1250 W 2nd St, Seymour, IN 47274;38.9550879, -85.9042171;812-522-1922;-;http://www.wrightimp.com;;
Woody Warehouse Nursery; Inc.;Active Member;Conifers;Deciduous trees;Grower;Ornamental Trees;Perennials;Platinum;Retail;3339 W 850 N, Lizton, IN 46149;39.8863398, -86.5825689;(317) 994-5487;-;https://www.woodywarehouse.com/;
Wilde Horticultural Services; Inc;Active Member;Class A;Design/Build;Hardscape;Landscape Design;;;;510 SE First St, Evansville, IN 47713;37.9654416, -87.570385;(812) 604-5322;-;https://wildespaces.com/;
Wichman’s Landscape; LLC;Active Member;Annuals;Class D;Conifers;Deciduous trees;Ground Covers;Hardscape;Irrigation;112 E 575 N, Washington, IN 47501;38.7459188, -87.1648535;(812) 257-1255;-;http://www.wichmanslandscape.com/;
White’s Residental & Family Services;Affiliate Member;;;;;;;;5233 S 50 E, Wabash, IN46952;40.7464675, -85.7817254;(260) 563-1158;-;;;
White’s Creative Landscaping; Inc.;Active Member;Class D;Hardscape;Irrigation;Landscape Design;;;;672 E Springhill Rd, Terre Haute, IN 47802-4449;39.4123981, -87.4084055;(812) 232-2417;-;http://whitescreativelandscaping.com/;
Wasson Nursery;Active Member;Annuals;Conifers;Deciduous trees;Design/Build;Garden Center;Ground Covers;Grower;3737 N 500 W, Muncie, IN 47304;40.2237825, -85.4818169;(765) 759-9000;-;https://wassonnursery.com/;;
Weaver Lawn & Landscape; Inc.;Active Member;Class A;Landscape Design;Lawncare/Landscape Maintenance;Snow and Ice Removal;;;;PO Box 6224, South Bend, IN 46660;41.69, -86.20999990000001;(574) 277-4067;-;https://www.weaverlawn.com/;
Ward’s Landscape Service; Inc.;Active Member;Class D;Design/Build;Hardscape;Landscape Design;;;;910 Industrial Blvd, New Albany, IN 47150;38.3374221, -85.8265256;(812) 948-2919;-;http://www.wardslandscape.net/;
Walters Gardens; Inc. / National Nursery Products;Associate Member;Horticulture, Product Supplier;Out of State Business;;;;;;3650 Golfview Dr., Williamston, MI 48895;42.6920245, -84.2889581;(309) 258-1630;-;https://www.nnpinc.net/;
White River State Park;Affiliate Member;;;;;;;;801 W Washington St. Indianapolis, IN 46204;39.7665145, -86.17060599999999;317-945-7800;-;;;
West Side Tractor Sales;Associate Member;Equipment dealer;;;;;;;7355 East 30th Street, Indianapolis, IN 46219;39.8101718, -86.0383802;(317) 544-3411;-;https://www.westsidetractorsales.com/;;
Wesley’s Landscape;Active Member;Design/Build;Hardscape;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;Platinum;Snow and Ice Removal;817 E 199th St, Westfield, IN 46074;40.0756594, -86.144212;(317) 867-1796;-;http://wesleyslandscape.com/;;
Wells Lawn Care;Active Member;Class A;Landscape Design;Lawncare/Landscape Maintenance;Snow and Ice Removal;;;;575 W. Simpson Chapel Rd, Bloomington, IN 47404;39.2783545, -86.52417319999999;(812) 272-9336;-;http://www.wellslawn.com/;;
Wellspring Land Design;Active Member;Class B;Design/Build;Hardscape;Landscape Design;;;;11950 Sandy Dr., Zionsville, IN 46077;39.9578103, -86.2417371;(765) 894-5263;-;;;
Voigt Smith Innovation (VSI);Associate Member;Equipment dealer;Snow and Ice Removal;;;;;;208 S 2nd Ave, Holland, IN 47541;38.2477276, -87.0382418;(812) 354-4638;-;https://vsinnovation.com/;;
Vincennes University – Hort Tech Program;Affiliate Member;Educational Facility/Agency;;;;;;;1002 N First St., Updike Hall 35, Vincennes, IN 47591;38.6887152, -87.5222502;(812) 888-4586;-;https://www.vinu.edu/;;
Twixwood Nursery LLC;Associate Member;Ground Covers;Out of State Business;Perennials;Wholesale;;;;PO Box 247, Berrien Springs, MI 49103;41.94745, -86.3384608;(269) 471-7408;-;https://twixwood.com/;;
Vive Exterior Design;Active Member;Class A;Conifers;Deciduous trees;Ground Covers;Perennials;Shrubs;Turf/Sod;12595 Cumberland Rd, Fishers, IN 46038;39.9706448, -85.99357809999998;(317) 813-2567;-;http://viveexterior.com/;;
Tuttle’s Nursery & Landscape; Inc.;Active Member;Class A;Deciduous trees;Grower;Hardscape;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;7307 W 300 S New Palestine, IN 46163;39.737025, -85.938153;(317) 861-8733;-;https://www.tuttlesnursery.com/;
Tuscan Valley Landscaping LTD;Annuals;Class B;Hardscape;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;;;5647 N 350 E, Rolling Prairie, IN 46371;41.6891336, -86.6490438;(219) 861-3459;-;https://tuscanvalleylandscaping.com/;;
Turner Nursery;Active Member;Class D;Conifers;Deciduous trees;Snow and Ice Removal;Wholesale;;;6301 Robinson Rd, Nabb, IN 47147;38.5965213, -85.54771299999999;(502) 682-3745;;;;
Vermeer Midwest;Associate Member;Equipment dealer;;;;;;;13402 Britton Park Rd, Fishers, IN 46038;39.9842456, -86.0071344;(317) 842-1040;-;https://www.vermeermidwest.com/;;
Vega’s Landscaping;Active Member;Class A;Design/Build;Hardscape;Irrigation;Landscape Design;Snow and Ice Removal;;79 W US Hwy 6, Valparaiso, IN 46385;41.5504531, -87.0838622;(219) 476-4300;-;https://vegas-landscaping.com/;;
Vandenberg Hort;Associate Member;Horticulture, Product Supplier;Out of State Business;Soil Amendments;;;;;PO Box 468, Howell, MI 48844;42.61586459999999, -83.9638013;(800) 955-3813;-;https://vandenberghort.com/;;
VanBeck Services; Inc;Active Member;Class C;Class D;Design/Build;Hardscape;Landscape Design;Lawncare/Landscape Maintenance;;PO Box 6952, Evansville, IN 47719;38.0515795, -87.68761119999999;(812) 618-2010;-;http://www.vanbeckservices.com/;
Turf Plus LLC;Active Member;Class C;Design/Build;Hardscape;Irrigation;Landscape Design;Lawncare/Landscape Maintenance;Snow and Ice Removal;4315 E. Morgan Ave., Ste. D Evansville, IN 47715;37.9912447, -87.4974714;(812) 454-3229;-;;;
Tri State Foliage; Inc;Associate Member;Horticulture, Product Supplier;;;;;;;10520 Pippin Rd, Cincinnati, OH 45231;39.2664395, -84.5724144;(513) 825-1885;-;https://www.tristatefoliage.com/;
Tres Beaux Gardens Inc;Active Member;Class D;Conifers;Deciduous trees;Design/Build;Ground Covers;Grower;Hardscape;10910 W Rosewood Circle, Fort Wayne, IN 46845;41.1829471, -85.1365313;(260) 637-5385;-;;;
Tiffany Lawn & Garden Supply; Inc.;Associate Member;Hardscape Supplier/ Mulch;Horticulture, Product Supplier;Ponds;Soil Amendments;;;;4931 Robison Rd, Indianapolis, IN 46268;39.9226852, -86.2431195;(317) 228-4900;-;http://tiffanylawnandgarden.com/;
The Treeman; Inc.;Active Member;Class B;;;;;;;2723 W 23rd St., Anderson, IN 46011;40.0922714, -85.7150947;(317) 370-9330;;;
The Rooted Barrel;Active Member;Annuals;Class D;Design/Build;Landscape Design;Lawncare/Landscape Maintenance;Mulch;Perennials;610 E Hillsdale Rd,  Evansville, IN 47725;38.0796137, -87.5538582; (812) 598-9862;-;http://www.therootedbarrel.com/;;
The Methodist Hospitals;Active Member;Class D;In-House Landscape Management;;;;;;8701 Broadway, Merrillville, IN 46410;41.4582307, -87.331597;(219) 757-7430;-;;;
The Green Executive;Affiliate Member;Consultant;;;;;;;Columbia, IL 62236;38.44366369999999, -90.2012239;(618) 779-2402;-;https://thegreenexecutive.com/;;
The F.A. Bartlett Tree Expert Co.;Associate Member;Business Services;Consultant;;;;;;5360 W 84th St, Indianapolis, IN 46268;39.9076208, -86.2521268;(317) 879-1010;-;https://www.bartlett.com/;;
The Excel Center Lafayette;Affiliate Member;Educational Facility/Agency;;;;;;;615 N. 18th Street Lafayette, IN 47904;40.4231859, -86.8765246;(317) 524-3641;-;https://excelcenter.org/;;
The Excel Center – West (Goodwill);Affiliate Member;Educational Facility/Agency;;;;;;;6000 W 34th St, Indianapolis, IN 46224;39.817338, -86.26440099999999;(317) 524-4005;-;https://excelcenter.org/;;
The Excel Center – Kokomo;Affiliate Member;Educational Facility/Agency;;;;;;;101 W Superior St, Kokomo, IN 46901;40.4852813, -86.1316859;(317) 524-3862;-;http://www.excelcenter.org;;
The Backyard Gardeners LLC;Active Member;Class B;Design/Build;Hardscape;Landscape Design;Lawncare/Landscape Maintenance;;;4476 South 00 N.E., Kokomo, IN 46902;40.4123075, -86.1255013;(765) 868-8468;-;https://www.bygkokomo.com/;;
Susan Smith;Affiliate Member;;;;;;;;Eaton, IN;40.3403206, -85.35080459999999;;;;;
SURROUNDINGS by NatureWorks +;Active Member;Class A;Design/Build;Erosion Control;Hardscape;Landscape Design;;;200 South Rangeline Rd #120A, Carmel, IN 46032;39.9767889, -86.1275496;(317) 575-0482;-;https://choosesurroundings.com/;;
Sundown Gardens; Inc.;Active Member;Annuals;Conifers;Deciduous trees;Design/Build;Garden Center;Ground Covers;Hardscape;505 W 186th St, Westfield, IN 46074;40.055875, -86.167374;(317) 846-0620;-;http://www.sundowngardens.com/;
Start to Finish Landscaping;Active Member;Deciduous trees;Design/Build;Erosion Control;Hardscape;Landscape Design;Lawncare/Landscape Maintenance;Platinum;3375 S 500 E  Whitestown, IN 4607;39.9912044, -86.3742207;(317) 769-2211;-;https://www.starttofinish.com;;
Stantec Native Plant Nursery;Active Member;Aquatics;Design/Build;Erosion Control;Perennials;Platinum;Wholesale;;128 Sunset Dr, Walkerton, IN 46574;41.4583267, -86.4940616;(574) 586-2412;-;https://www.stantec.com/nursery;;
Spence Restoration Nursery; Inc.;Active Member;Class C;Native Plants and Seed;Wholesale;;;;;2220 E Fuson Rd, Muncie, IN 47302;40.152703, -85.359253;(765) 286-7154;-;http://www.spencenursery.com/;
Splash of Life Landscaping LLC;Active Member;Class C;Design/Build;Hardscape;Landscape Design;Lawncare/Landscape Maintenance;;;876 Rustic Acres Lane, Hebron, IN 46341;41.306915, -87.1651748;219-216-8910;-;;;
Southlake Services;Active Member;Annuals;Class C;Conifers;Deciduous trees;Ground Covers;Hardscape;Landscape Design;9808 Broadway, Crown Point, IN 46307;41.4398877, -87.3359859;(219) 718-2337;-;https://southlakellc.com/;;
Southern View Nursery;Active Member;Annuals;Conifers;Deciduous trees;Ground Covers;Grower;Perennials;Platinum;9494 W Base Rd., Arlington, IN 46104;39.612739, -85.62253299999999;765-914-1468;-;http://www.southernviewnursery.com;;
Smoot Landscaping LLC;Active Member;Aquatics;Class A;Design/Build;Erosion Control;Hardscape;Irrigation;Landscape Design;333 N Commerce Dr, Muncie, IN 47303;40.2206059, -85.343108;(765) 216-1087;-;https://smootlandscaping.net/;;
Smith Projects;Active Member;Class D;;;;;;;238 North Main St Maxwell, IN 46154;39.862433, -85.7722271;(317) 326-8000;-;;;
Second Nature Landscape Management; Inc;Active Member;Aquatics;Class A;Design/Build;Erosion Control;Hardscape;In-House Landscape Management;Irrigation;PO Box 651, Newburgh, IN 47629;37.944738203607, -87.404592666626;(812) 483-7187;-;http://www.secondnaturelm.com/;
Season’s Landscape Specialties; Inc.;Active Member;Annuals;Class B;Conifers;Deciduous trees;Ground Covers;Hardscape;In-House Landscape Management;7111 Cline Ave Schererville, IN 46375;41.48684799999999, -87.429559;(219) 322-5787;-;https://www.seasonslandscapeinc.com/;
Seacat Landscaping;Active Member;Class A;Design/Build;Erosion Control;Landscape Design;Lawncare/Landscape Maintenance;Snow and Ice Removal;;5688 Watson Rd, Greenwood, IN 46143;39.6250023, -85.9966071;(317) 695-5962;-;http://seacatlandscaping.com;;
Schuetz Insurance Services; Inc.;Associate Member;Business Services;;;;;;;1531 Indiana Ave, Indianapolis, IN 46202;39.7880622, -86.1831623;(317) 639-5679;-;http://www.schuetzinsurance.com;
SiteOne Landscape Supply;Active Member;Annuals;Conifers;Deciduous trees;Ground Covers;Horticulture Supplies;Mulch;Ornamental Trees;20238 Hague Rd, Noblesville, IN 46060;40.0814731, -86.03249399999999;(317) 770-8950;-;https://www.siteone.com/;;
Silver Lining Landscaping;Active Member;Class C;Design/Build;Erosion Control;Hardscape;In-House Landscape Management;Landscape Design;Lawncare/Landscape Maintenance;PO Box 836, Brownsburg, IN 46112;39.8560912, -86.3858078;(317) 902-5411;-;https://www.silverlininglandscaping.com/;;
